Objectidfieldname,Uniqueidfield Name,Uniqueidfield Issystemmaintained,Globalidfieldname,Servergens Minservergen,Servergens Servergen,Geometrytype,Spatialreference Wkid,Spatialreference Latestwkid,Fields Name,Fields Type,Fields Alias,Fields Sqltype,Fields Domain,Fields Defaultvalue,Fields Length,Exceededtransferlimit,Features Attributes No,Features Attributes Sr,Features Attributes Township,Features Attributes Case,Features Attributes Tested,Features Attributes Pui,Features Attributes M,Features Attributes F,Features Attributes Child,Features Attributes Adult,Features Attributes Confirmed,Features Attributes Death,Features Attributes Recovered,Features Attributes Latitude,Features Attributes Longitude,Features Attributes Fid,Features Attributes Globalid,Features Attributes Creationdate,Features Attributes Creator,Features Attributes Editdate,Features Attributes Editor
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,88,Rakhine State,Ann Township,"658, 659",224383,11757,1,2,2,4,4,1,1,19.79537,94.04791,88,508401e6-c095-4b2a-8af2-90571d1ec760,1598720537065,NanThidaPhyo1,1600605193005,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,173,Mandalay Region,Pyigyitagon Township,"658, 659",224383,11757,1,2,2,4,4,1,1,21.90196,96.10418,179,311c06e8-50f7-411a-bf1c-18a243ba8454,1600439531272,NanThidaPhyo1,1600691475105,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,175,Bago Region,Okpho Township,"658, 659",224383,11757,1,2,2,4,4,1,1,18.13022,95.67177,181,dd748c25-2863-4025-80bb-037b3a790d86,1600439531272,NanThidaPhyo1,1600775859104,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,16,Mon State,Kyaikmaraw Township,27,224383,11757,1,1,2,3,3,1,1,16.37045,97.72411,16,aef37da5-d0af-4035-bfc4-344bf31fd3d4,1598151582284,NanThidaPhyo1,1600605270832,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,17,Shan State (South),Taunggyi Township,"29, 121, 652",224383,11757,1,2,2,3,3,1,2,20.77477,97.03598,17,2706d4dc-f9f7-41cf-87a8-21002fddcdc9,1598151582284,NanThidaPhyo1,1598665450329,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,69,Kayin State,Myawaddy Township,"346, 349",224383,11757,1,2,2,3,3,1,2,16.68867758,98.51303563,69,8a55ae79-48c1-4fca-b566-5b17c8730092,1598151582284,NanThidaPhyo1,1600078265831,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,74,Shan State (South),Hsihseng Township,245,224383,11757,1,2,2,3,3,1,1,20.16227,97.2519,74,12deec47-a827-4dcf-aff3-dbc4bb89ed1b,1598151582284,NanThidaPhyo1,1600444442869,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,91,Ayeyarwady Region,Kyangin Township,245,224383,11757,1,2,2,3,3,1,1,18.34035,95.23914,91,3a843c70-5749-4552-9d44-ec5f9b7c3374,1598957706542,NanThidaPhyo1,1599898413458,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,112,Ayeyarwady Region,Ngapudaw Township,245,224383,11757,2,2,2,3,3,1,1,16.5431,94.69224,112,2d418128-e9d9-4f33-ad73-2331603d7f91,1599388251406,NanThidaPhyo1,1600344372451,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,122,Ayeyarwady Region,Einme Township,245,224383,11757,1,2,1,2,3,1,1,16.8962,95.1805,122,b4d06cf6-c2be-4638-8980-08b10e81192a,1599626042924,NanThidaPhyo1,1600837603246,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,142,Shan State (East),Mongyawng Township,245,224383,11757,1,2,1,3,3,1,1,21.1807,100.3579,142,1467443b-8b7f-4cf9-bb99-68c1ea236b6d,1599889879073,NanThidaPhyo1,1599891735190,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,143,Ayeyarwady Region,Wakema Township,245,224383,11757,1,2,1,3,3,1,1,16.60383,95.18041,143,890dd83b-5a4c-4c67-be66-bfb235051139,1599889879073,NanThidaPhyo1,1600262433447,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,155,Bago Region,Phyu Township,245,224383,11757,1,2,1,3,3,1,1,18.48438,96.43572,155,cf75c59d-ff20-4f77-9d26-c7dda0975365,1599999247614,NanThidaPhyo1,1600775818606,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,177,Ayeyarwady Region,Dedaye Township,245,224383,11757,1,2,1,3,3,1,1,16.40806,95.88512,183,fb4876f6-552d-410a-8f97-ba413f644c99,1600439531272,NanThidaPhyo1,1600691180436,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,187,Bago Region,Zigon Township,245,224383,11757,1,2,1,3,3,1,1,18.33846,95.62304,187,0efac0c1-3da0-41c0-a53d-89d742e6c6e8,1600510895761,NanThidaPhyo1,1600511399410,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,190,Bago Region,Letpadan Township,245,224383,11757,1,2,1,3,3,1,1,17.779,95.74529,190,041c431e-0b84-46d2-8125-5cb3bdd3dbca,1600510895761,NanThidaPhyo1,1600775885667,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,22,Magway Region,Myothit Township,53,224383,11757,1,2,1,2,2,1,1,20.19919,95.44692,22,438c343c-f07d-4a28-bdac-d10fa502331b,1598151582284,NanThidaPhyo1,1599996348177,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,31,Shan State (East),Tachileik Township,"96, 112",224383,11757,1,1,1,2,2,1,2,20.45304,99.88403,31,df4fd8ae-78ab-4a40-b0ac-f3244a81a51f,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,42,Shan State (North),Muse Township,"143, 231",224383,11757,1,2,1,2,2,1,2,23.98989,97.90165,42,75bde53b-fc65-4d47-b21a-6ddc298ecaa0,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,49,Tanintharyi Region,Launglon Township,185,224383,11757,1,2,1,2,2,1,1,13.97522,98.11963,49,286671bf-1003-4163-88d3-342c54181383,1598151582284,NanThidaPhyo1,1600605519726,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,98,Tanintharyi Region,Yebyu Township,185,224383,11757,1,2,1,2,2,1,1,14.24591,98.20291,98,1d643686-8dba-4b39-a42e-2d50b8e2f2cd,1599038617463,NanThidaPhyo1,1600605507972,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,102,Shan State (South),Kalaw Township,185,224383,11757,2,2,1,2,2,1,1,20.62418,96.55864,102,b9ef659e-2323-4ce1-aa12-4f5bf9f2f167,1599123002146,NanThidaPhyo1,1599313059338,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,106,Magway Region,Aunglan Township,185,224383,11757,1,2,1,2,2,1,1,19.35855,95.21684,106,f3ffc59e-a400-4a6a-b9a8-d808ded4596c,1599239929376,NanThidaPhyo1,1600605561097,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,117,Ayeyarwady Region,Hinthada Township,185,224383,11757,1,2,1,2,2,1,1,17.64958,95.45818,117,d866bae4-c58a-4b03-83d0-853abd13f896,1599488317145,NanThidaPhyo1,1600605418939,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,118,Ayeyarwady Region,Kyonpyaw Township,185,224383,11757,1,2,1,2,2,1,1,17.3,95.2,118,ebafec9c-1722-4224-a18a-da6dd1f22bdd,1599488317145,NanThidaPhyo1,1600262372661,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,121,Rakhine State,Ramree Township,185,224383,11757,1,1,1,2,2,1,1,19.08769,93.85886,121,562904e5-3b50-4488-aed7-d6983c961877,1599626042924,NanThidaPhyo1,1599891634819,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,144,Kayin State,Thandaunggyi Township,185,224383,11757,1,1,1,2,2,1,1,19.07339,96.67547,144,3915d0da-d0d3-48d3-ba6d-f46e826afd45,1599890985156,NanThidaPhyo1,1599898876098,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,150,Sagaing Region,Kawlin Township,185,224383,11757,1,1,1,2,2,1,1,23.79026,95.68339,150,d4874cf5-f42d-4971-b304-9e75a712f01d,1599999247614,NanThidaPhyo1,1600776567987,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,162,Shan State (South),Nansang Township,185,224383,11757,1,1,1,2,2,1,1,20.88912,97.72022,162,3dc9ad73-5fa1-46fa-b33b-91f251b18562,1600077844553,NanThidaPhyo1,1600776700110,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,167,Ayeyarwady Region,Danubyu Township,185,224383,11757,1,1,1,2,2,1,1,17.25468,95.59583,167,938e3607-2920-48fe-b60e-91fdaf1dba26,1600176427931,NanThidaPhyo1,1600444395412,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,173,Mon State,Ye Township,185,224383,11757,1,1,1,2,2,1,1,15.24539,97.84935,173,29344a0b-c40e-4727-81bd-3ee1c883be80,1600339762333,NanThidaPhyo1,1600511739467,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,175,Ayeyarwady Region,Lemyethna Township,185,224383,11757,1,1,1,2,2,1,1,17.60038,95.17454,175,e05669a2-1ba5-4ae4-a02d-4e13acde96d4,1600339762333,NanThidaPhyo1,1600691243556,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,188,Bago Region,Nattalin Township,185,224383,11757,1,1,1,2,2,1,1,18.42753,95.54731,188,d313c2e2-3230-4ed8-8505-42582e10088f,1600510895761,NanThidaPhyo1,1600511408267,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,189,Bago Region,Thegon Township,185,224383,11757,1,1,1,2,2,1,1,18.64698,95.41721,189,85d85e5c-eb57-4921-b253-55024746d924,1600510895761,NanThidaPhyo1,1600511455920,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,196,Kayin State,Hlaingbwe Township,185,224383,11757,1,1,1,2,2,1,1,17.12574,97.81871,196,34bb1e62-d7e5-4bad-9d8f-c1db8ec32af9,1600606114195,NanThidaPhyo1,1600606150043,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,199,Mon State,Chaungzon Township,185,224383,11757,1,1,1,2,2,1,1,97.55048,16.35125,199,45a15623-f2b7-4b3b-a6ba-06fe4c47b0b0,1600775211922,NanThidaPhyo1,1600836518769,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,10,Shan State (North),Kyaukme Township,14,224383,11757,1,1,1,1,1,1,1,22.54172,97.03671,10,c1956133-d012-4101-a4c8-c915738dfa69,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,23,Shan State (East),Monghpyak Township,64,224383,11757,1,1,1,1,1,1,1,20.87804,99.92333,23,b10b998a-50ca-4c03-8e2a-6226efef05a4,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,38,Mandalay Region,Madaya Township,132,224383,11757,1,1,1,1,1,1,1,22.21036,96.10639,38,eefb0ee2-5335-4f7f-ab55-b01c228f0527,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,43,Kachin State,Mohnyin Township,144,224383,11757,1,1,1,1,1,1,1,24.77711,96.36493,43,aff0d409-16dd-4149-92d9-9f13b2170541,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,45,Chin State,Hakha Township,150,224383,11757,1,1,1,1,1,1,1,22.64011,93.60483,45,e32e2eea-53a9-458b-a28e-c8148effbc17,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,46,Naypyitaw,Zay Yar Thi Ri Township,156,224383,11757,1,1,1,1,1,1,1,19.862,96.309,46,a4226219-cf2e-4e18-85af-cf4d3666cafe,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,48,Chin State,Thantlang Township,182,224383,11757,1,1,1,1,1,1,1,22.69843,93.4278,48,f531bb7b-79f2-4a67-9212-b506b366579a,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,55,Shan State (South),Ywangan Township,230,224383,11757,1,1,1,1,1,1,1,21.16282,96.44229,55,07be6a9e-08a9-4e79-b95a-9656919cf109,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,57,Bago Region,Nyaunglebin Township,233,224383,11757,1,1,1,1,1,1,1,17.95323,96.72151,57,7523e586-70d9-486e-9ff0-e09dd8cba95d,1598151582284,NanThidaPhyo1,1600837681045,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,59,Magway Region,Thayet Township,242,224383,11757,1,1,1,1,1,1,1,19.3215,95.17716,59,e5bb7c61-c7ee-44d2-9204-fe867095ce85,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,61,Kachin State,Momauk Township,249,224383,11757,1,1,1,1,1,1,1,24.25095,97.34653,61,4815ef0d-0ed8-4544-a218-87e0b80d181f,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,70,Kayin State,Kyainseikgyi Township,351,224383,11757,1,1,1,1,1,1,1,16.04079,98.12322,70,d411798d-ffb4-49d6-ac32-7aed1ae693d2,1598151582284,NanThidaPhyo1,1598151582284,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,82,Bago Region,Taungoo Township,606,224383,11757,1,1,1,1,1,1,1,18.93953,96.43314,82,4ca3a16a-f313-416c-8b48-4ef7db749f5b,1598585496802,NanThidaPhyo1,1598585555470,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,86,Rakhine State,Gwa Township,634,224383,11757,1,1,1,1,1,1,1,17.59369,94.57996,86,752919b7-2e6a-4111-a9aa-6bfecc2c0bf6,1598628431621,NanThidaPhyo1,1598628464133,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,87,Rakhine State,Munaung Township,641,224383,11757,1,1,1,1,1,1,1,18.85506,93.7215,87,d7d27aaf-182e-492e-ae4e-8b3c1160aca2,1598628431621,NanThidaPhyo1,1598628610686,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,90,Bago Region,Padaung Township,641,224383,11757,1,1,1,1,1,1,1,18.71797,95.15353,90,31ed2adf-0a39-42c2-bfcd-e3c3a962f0fa,1598957706542,NanThidaPhyo1,1598957918856,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,108,Naypyitaw,Tatkon Township,641,224383,11757,1,1,1,1,1,1,1,20.13041,96.20297,108,72878dbe-49cf-4120-80d7-7e76d102d7b6,1599311207318,NanThidaPhyo1,1599312659485,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,114,Ayeyarwady Region,Thabaung Township,641,224383,11757,1,1,1,1,1,1,1,17.04734,94.80589,114,3683d5da-2f0c-4690-92ae-23aaae6f706d,1599388251406,NanThidaPhyo1,1599388366517,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,115,Kayin State,Kawkareik Township,641,224383,11757,1,1,1,1,1,1,1,16.55553,98.23996,115,753ecd46-2174-42f7-95cb-53882cea1fea,1599388251406,NanThidaPhyo1,1599389692998,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,123,Shan State (South),Hopong Township,641,224383,11757,1,1,1,1,1,1,1,20.79743,97.17024,123,9adc6ee0-7577-45c3-ae7e-da27254e48b2,1599626042924,NanThidaPhyo1,1599647154111,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,124,Mon State,Paung Township,641,224383,11757,1,1,1,1,1,1,1,16.61679,97.45672,124,632665b7-4a11-4427-8bd0-cbc941e80ab5,1599626806974,NanThidaPhyo1,1599646602462,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,126,Kachin State,Myitkyina Township,641,224383,11757,1,1,1,1,1,1,1,25.38749,97.39036,126,2e2efc3d-9d27-4f8e-835f-2870d4ef6d93,1599718393528,NanThidaPhyo1,1599718464359,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,130,Magway Region,Myaing Township,641,224383,11757,1,1,1,1,1,1,1,21.61256,94.85432,130,9f7cee91-70ae-42f1-929f-7bd62f22f3be,1599823871956,NanThidaPhyo1,1599833144741,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,132,Mandalay Region,Meiktila Township,641,224383,11757,1,1,1,1,1,1,1,20.88189,95.86311,132,026173f4-6906-4c03-9823-01fb5f3f7a7c,1599823871956,NanThidaPhyo1,1599826468035,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,138,Mandalay Region,Yamethin Township,641,224383,11757,1,1,1,1,1,1,1,20.4305,96.13747,138,015c5da0-c015-4bd2-8b8b-535ff30451f5,1599889879073,NanThidaPhyo1,1599891299297,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,140,Sagaing Region,Myinmu Township,641,224383,11757,1,1,1,1,1,1,1,21.92681,95.57157,140,1f7a8581-9698-470e-9680-36da2716d646,1599889879073,NanThidaPhyo1,1599891715212,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,146,Ayeyarwady Region,Myaungmya Township,641,224383,11757,1,1,1,1,1,1,1,16.59926,94.92977,146,1a186221-4fc1-474b-b622-0993582dde9c,1599898835747,NanThidaPhyo1,1599898890018,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,147,Magway Region,Minhla Township,641,224383,11757,1,1,1,1,1,1,1,19.96559,95.0367,147,dd20384d-40a0-48c6-8cab-e90484150b19,1599898835747,NanThidaPhyo1,1599898898116,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,148,Mandalay Region,Kyaukpadaung Township,641,224383,11757,1,1,1,1,1,1,1,20.84248,95.13218,148,21280c28-c3ce-4e16-a55b-9d0d89b13079,1599999247614,NanThidaPhyo1,1599999287241,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,149,Sagaing Region,Mawlaik Township,641,224383,11757,1,1,1,1,1,1,1,23.63512,94.41201,149,1c8d38ea-b9e5-4e54-874e-0ec6b6c0e341,1599999247614,NanThidaPhyo1,1599999294879,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,151,Yangon Region,Taikkyi Township,641,224383,11757,1,1,1,1,1,1,1,17.31263,95.96344,151,8066d434-163d-4425-844c-d7c3f3ad2070,1599999247614,NanThidaPhyo1,1599999313020,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,157,Tanintharyi Region,Dawei Township,641,224383,11757,1,1,1,1,1,1,1,14.07753,98.19636,157,8c7ba11d-574b-4357-9e55-13e581a6bb01,1599999247614,NanThidaPhyo1,1599999376385,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,159,Sagaing Region,Myaung Township,641,224383,11757,1,1,1,1,1,1,1,21.83164,95.42425,159,4ab96453-bc5a-417b-81e7-d6509e43333c,1600077844553,NanThidaPhyo1,1600078098088,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,160,Sagaing Region,Indaw Township,641,224383,11757,1,1,1,1,1,1,1,24.22252,96.14167,160,db625396-6d61-41e8-88d3-9f01ee9bbdf4,1600077844553,NanThidaPhyo1,1600078107876,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,161,Sagaing Region,Taze Township,641,224383,11757,1,1,1,1,1,1,1,22.94407,95.37361,161,1e127bb5-cdd9-4c9f-b17b-14108f99f2fb,1600077844553,NanThidaPhyo1,1600078130682,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,163,Mandalay Region,Pyawbwe Township,641,224383,11757,1,1,1,1,1,1,1,20.59472,96.05094,163,1dd81f1b-5585-41e5-baf8-5436b63a8cf0,1600176427931,NanThidaPhyo1,1600217588117,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,164,Mandalay Region,Kyaukse Township,641,224383,11757,1,1,1,1,1,1,1,21.61325,96.13033,164,64265862-22cd-4b9d-a80f-958471385a95,1600176427931,NanThidaPhyo1,1600217599676,NanThidaPhyo1
FID,FID,true,GlobalID,212003,215947,esriGeometryPoint,102100,3857,Editor,esriFieldTypeString,Editor,sqlTypeOther,,,128,true,165,Sagaing Region,Budalin Township,641,224383,11757,1,1,1,1,1,1,1,22.38918,95.14857,165,18289de2-57e7-4033-91a4-63e79a9f068f,1600176427931,NanThidaPhyo1,1600217684215,NanThidaPhyo1
